text,label
@user Me talking to my antidepressants,MENTAL_HEALTH
going to attempt at least to change this sour mood. It's mainly just a sense of loneliness which results in feelings of depression,MENTAL_HEALTH
flighty sag placements make me anxioussss,OTHER
I'm going to buy cream cheese after work and sit in my bathtub and eat it. This is the stage of depression I'm at.,MENTAL_HEALTH
My anxiety and stress levels for today are actually making me feel physically sick 😭,MENTAL_HEALTH
"@user autumn here is just,, rain and dirt everywhere and depressing clouds krgrtwrzmzt i like spring more sorry",OTHER
Facebook is for the depressed people. Get off here with all that sad shit yo.,OTHER
@user I am depression pls do not stalks me,MENTAL_HEALTH
#HappyBirthdayChester we miss you!! #MakeChesterProud #FuckDepression,OTHER
I have the body of a former athlete and it's depressing,OTHER
@user Don't conclude fast ! What if he is try to heal from depression,OTHER
summertime depression really do be hittin bout now,MENTAL_HEALTH
"me vs anxiety, depression, ednos, borderline personailty disorder, bipolar",MENTAL_HEALTH
@user im depression,MENTAL_HEALTH
ME ENAMORE DE ANXIETY DIOOOOOOOS,OTHER
just wait until my seasonal depression is gone and it's over for u bitches,MENTAL_HEALTH
I have the same anxieties about lighting candles as I do about putting stickers on things,OTHER
can we talk about how hard it is to stay positive while also growing up? this shit is just depressing and disappointing,OTHER
I have so much anxiety about tomorrow and I dont know why,MENTAL_HEALTH
@user Nooo. Dogs don't sweat like us. They'll end up getting extremely stressed out and anxious if kept in a hot box like that,OTHER
my anxiety and anger issues have calmed down a bit but now I feel depressed haaaaaaaaa,MENTAL_HEALTH
i wish i had somewhere that feels like home instead of being in this depression dome,MENTAL_HEALTH
This weather makes me sad &amp; depressed:/,MENTAL_HEALTH
*anxiously refreshes Patreon*,OTHER
this anxiety shit is so trash fr... wouldn't wish it on my worst enemy,MENTAL_HEALTH
When I look at my bank balance I just get anxiety...Lol aiy ja neh,OTHER
anxiety and i sitting in front of my laptop waiting for jintro,OTHER
My ptsd so bad that flashing lights gives me anxiety 😩,MENTAL_HEALTH
What are your stress relievers? What do you do to calm anxiety? DM us to be featured in our next blog post!#wellbeing #selflove,OTHER
i hate random sad days. Having a heavy heart and an anxious mind is the worst,MENTAL_HEALTH
anxiety culture is trying to google the phone number that's calling you before the call ends to see whether you should pick up or not,OTHER
i get so anxious when buying christmas presents for claudia i want to tell her literally the second i buy it 😂😩,OTHER
"They give me anxiety, I work with my hands all day so having nails really disables me",MENTAL_HEALTH
anxiety mfuckin again,MENTAL_HEALTH
@user @user Anxiety lol,OTHER
Being depressed on Twitter and looking at memes makes you question life.,OTHER
@user I share your anxiety . But I have Easy and fast  workable solutions. Inbox me for more info :kamabdu23@gmail.com,OTHER
Well would you look at this wave of anxiety hitting me outta no where 😍,MENTAL_HEALTH
"yo so I stopped smoking, now I'm not depressed. Being sober is wild",OTHER
Turning off my phone for the day cause I'm about to become so depressed that I'm not at higher visions,OTHER
But being Brazilian these days is equal to be depressed.Ohhh...,OTHER
yoooo i forgot that i'm meeting @user for a second.... my anxiety is back :],MENTAL_HEALTH
@user sending you all the anti anxiety feels Jon &lt;3,OTHER
"@user I was still so wired, I had to take half an anti-anxiety pill (apparently this can be chemo-related). But I did sleep a bit.",MENTAL_HEALTH
Oral quizzes in French 102 are the leading causes my anxiety,MENTAL_HEALTH
@user my depression is cured,OTHER
I'd say depressed,OTHER
@user IM SORRY. MAYBE ITS JUST A WEIRD ANXIETY DAY FOR EVERYONE,MENTAL_HEALTH
@user Depression Kills,OTHER
having an anxiety attack at 4am is p neat 😫,MENTAL_HEALTH
I really want to know the link between anxiety and mornings!? It's always in the mornings like beech calm yo tits down!,MENTAL_HEALTH
On my way to see my car. I hope its everything I dreamed of. I'm so anxious.,OTHER
wow my supervisor was soooooo chill about my session....... lol i legit had anxiety.,MENTAL_HEALTH
@user You can see the guilt anxiety 20 miles away,OTHER
lmao i love depressive episodes,MENTAL_HEALTH
"@user Take all that anxiety you have, and shove it in a fuck barrel.",OTHER
How does the song link to depression? #SBSEurovision,OTHER
I know it's a constant post. I have anxiety now. It's too much for me physically to deal with.,MENTAL_HEALTH
crazy how outkast cured my depression,OTHER
Depression is so real. Life full of unending troubles really makes one think of suicide. I highly resonate with this. #BattleInMyMind,MENTAL_HEALTH
Challenge negative thinking. Let's end #depression together,OTHER
Not being able to work out until March 1st is giving me anxiety 😩,MENTAL_HEALTH
Nothing depresses me like my way by frank sinatra,OTHER
Worst headache ever. Can't sleep. So much anxiety,MENTAL_HEALTH
OH BOY OH BOY OH BOY!! WHAT A WONDERFUL DAY TO HAVE DEPRESSION!!end me pls and thank you,MENTAL_HEALTH
Bingo gives me anxiety af😭😭😂🤦🏽‍♀️,OTHER
"I been feeling really depressed lately, can someone gift me a cold cut platter ?? 😭",MENTAL_HEALTH
i am so tired but so anxious so i can't sleep,MENTAL_HEALTH
Same rut is not depressed,OTHER
I've been a lot less depressed since I graduated high school and not sure if that's a direct correlation 🤔,OTHER
I haven't been this anxious in a minute 😩,MENTAL_HEALTH
i'm anxious as fuck,MENTAL_HEALTH
anxiety. anxiety. anxiety.,MENTAL_HEALTH
this cured my depression for 2.6 seconds,MENTAL_HEALTH
Checked ESPN app today and saw cricket highlights.I'm depressed until NBA come back on,OTHER
@user This retrograde has really changed my perspective on my anxiety lol,MENTAL_HEALTH
nothing feels better than pulling yourself out of a depressive episode.,MENTAL_HEALTH
Oof so apparently this is called anxiety,MENTAL_HEALTH
what depression things should i draw,MENTAL_HEALTH
@user I take benzodiazepines on a daily basis for anxiety and PTSD. Tell them all to fuck off and do what you need to do.,MENTAL_HEALTH
Putting together this 90s party has my anxiety through the roof 😩,MENTAL_HEALTH
"@user Yesterday was bad for me.... super depressed feeling. Kinda pulling out of it today, I hope you're coming around soon!",MENTAL_HEALTH
Yeah it's called depression,OTHER
my talking to my depression,MENTAL_HEALTH
"if you're feeling depressed, turn on some lights or open the shades. sitting in the dark will only make you feel worse.",OTHER
"Depression doesn't show in pictures,because your friends post nice pictures doesn't mean they're doing well...Check on people🙏🏾",OTHER
@user 10- summer depression#voteBillieEilishVMA,OTHER
"jan. 2nd — 'my breakouts really bring out the, uh... depressed bitch who doesn't wash her face.'",OTHER
Shout out to the amazing man who swapped my window seat for his aisle seat because I was freaking out about my anxious bladder being trapped,OTHER
depression motivates me ina weird way,MENTAL_HEALTH
Fuck your anxiety to the hardcore level,OTHER
god waking up having an anxiety attack in an out of body experience i literally thought i was having a heart attack,MENTAL_HEALTH
I came to this lecture to learn and came out more mad and depressed Thanks white ppl,MENTAL_HEALTH
Lol can't relate because I AM the depressing one in the group,MENTAL_HEALTH
Literally I get so much anxiety in movie theaters now,OTHER
